"object" "mean" "min" "max" "execution" "treatment" "dependentVariable"
"197" 0.799469780922 0.668140888214 0.833965063095 "Reproduction" "Warm" "time"
"256" 0.8481717824937 0.794634103775 0.900306940079 "Reproduction" "Warm" "time"
"332" 0.8198657989502 0.799237966537 0.83749294281 "Reproduction" "Warm" "time"
"432" 0.8827400207519 0.835478067398 0.925534009933 "Reproduction" "Warm" "time"
"562" 0.9538480520249 0.86173582077 1.06377696991 "Reproduction" "Warm" "time"
"731" 1.088253617287 1.03203892708 1.1137368679 "Reproduction" "Warm" "time"
"951" 1.301718878745 1.23021888733 1.33790683746 "Reproduction" "Warm" "time"
"1236" 1.628886413575 1.53593492508 1.66442894936 "Reproduction" "Warm" "time"
"1607" 2.216721510887 2.16260004044 2.25866794586 "Reproduction" "Warm" "time"
"2089" 3.358429694177 3.28354001045 3.40383601189 "Reproduction" "Warm" "time"
"2716" 5.420654869079 5.36325907707 5.55476593971 "Reproduction" "Warm" "time"
"3531" 9.868683362008 9.04086089134 11.1121668816 "Reproduction" "Warm" "time"
"4590" NA NA NA "Reproduction" "Warm" "time"
"5967" NA NA NA "Reproduction" "Warm" "time"
"7757" NA NA NA "Reproduction" "Warm" "time"
"10085" NA NA NA "Reproduction" "Warm" "time"
"13110" NA NA NA "Reproduction" "Warm" "time"
"17043" NA NA NA "Reproduction" "Warm" "time"
"22157" NA NA NA "Reproduction" "Warm" "time"
"28804" NA NA NA "Reproduction" "Warm" "time"
"37445" NA NA NA "Reproduction" "Warm" "time"
"48679" NA NA NA "Reproduction" "Warm" "time"
"63282" NA NA NA "Reproduction" "Warm" "time"
"82267" NA NA NA "Reproduction" "Warm" "time"
"106948" NA NA NA "Reproduction" "Warm" "time"
"139032" NA NA NA "Reproduction" "Warm" "time"
"180742" NA NA NA "Reproduction" "Warm" "time"
